Medicao,Dia,Consumo_kWh,Mes,Tipo,MesOrdem
Consumo ativo Fora de Ponta,2025-02-10,36957.97916779233,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-10,5649.304993073825,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-11,35772.36284940082,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-11,5799.858511828947,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-12,35487.8759931951,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-12,5510.145801261185,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-13,37026.1884593811,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-13,6074.680059099064,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-14,37153.95692895875,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-14,6473.433362057696,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-15,43264.9671367368,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-16,39540.76343535368,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-17,35306.81692474744,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-17,5528.189763632413,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-18,36041.59384611869,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-18,5683.056289595548,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-19,36083.91349708614,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-19,5542.079720277891,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-20,36103.290946893765,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-20,5563.498812301292,Fev,Ajustado (delta),3
Consumo ativo Fora de Ponta,2025-02-21,35461.353602305884,Fev,Ajustado (delta),3
Consumo ativo de Ponta,2025-02-21,5669.16633295007,Fev,Ajustado (delta),3
