Dia,Consumo_kWh,Demanda_Max_kW,N_leituras,Mes,Tipo,MesOrdem
2025-10-03,23761.440015588178,671.5156572952768,40,Out,Ajustado (delta),11
2025-10-04,22537.675360544697,660.615675450642,40,Out,Ajustado (delta),11
2025-10-05,20919.343129559962,641.1514221566512,40,Out,Ajustado (delta),11
2025-10-06,22161.328402337225,652.0514040012861,40,Out,Ajustado (delta),11
2025-10-07,21832.239851771174,644.3954643723164,40,Out,Ajustado (delta),11
2025-10-08,20302.417920787153,624.7802299774271,40,Out,Ajustado (delta),11
2025-10-09,24864.74681124628,763.3869328429133,40,Out,Ajustado (delta),11
2025-10-10,19807.897644758985,662.8216241572942,40,Out,Ajustado (delta),11
2025-10-11,22550.150671003463,675.7977930199547,40,Out,Ajustado (delta),11
2025-10-12,20575.499874525005,659.5775819416291,40,Out,Ajustado (delta),11
2025-10-13,21905.035929735997,647.6395065879815,40,Out,Ajustado (delta),11
2025-10-14,22063.53506485297,617.2573531898132,40,Out,Ajustado (delta),11
2025-10-15,21216.382634735906,616.2373020999672,40,Out,Ajustado (delta),11
2025-10-16,22444.524146910433,621.5925703216585,40,Out,Ajustado (delta),11
2025-10-17,22395.780642790756,670.3478020976373,40,Out,Ajustado (delta),11
2025-10-18,23209.281680331493,676.8358865289676,40,Out,Ajustado (delta),11
2025-10-19,21592.36229799704,665.5466196184531,43,Out,Ajustado (delta),11
2025-10-20,22078.453312041966,620.4450128455818,40,Out,Ajustado (delta),11
2025-10-21,20941.606372408653,599.916484662432,40,Out,Ajustado (delta),11
2025-10-22,22325.486875516865,650.2347403605136,40,Out,Ajustado (delta),11
2025-10-23,21174.688046438452,615.8547829412751,40,Out,Ajustado (delta),11
2025-10-24,22878.209284691766,657.5013949236035,40,Out,Ajustado (delta),11
2025-10-25,21829.57058294998,661.5240072710283,40,Out,Ajustado (delta),11
2025-10-26,19036.278442962644,610.8820338782759,40,Out,Ajustado (delta),11
2025-10-27,16723.31259673695,509.259444052373,40,Out,Ajustado (delta),11
2025-10-28,21341.686842227336,653.8680676420585,40,Out,Ajustado (delta),11
2025-10-29,22814.311609098888,660.4859137620153,40,Out,Ajustado (delta),11
2025-10-30,23173.43134614738,657.8906799894833,40,Out,Ajustado (delta),11
2025-10-31,23738.79393069763,674.759699510942,40,Out,Ajustado (delta),11
